Order Number,Order Date,Item Name,Quantity,Product Price,Total products
16061,31/07/2019,Red Sauce,1,0.5,5
16061,31/07/2019,Plain Rice,1,2.95,5
16061,31/07/2019,Dupiaza - Chicken Tikka,1,8.95,5
16061,31/07/2019,Chapati,1,1.95,5
16060,31/07/2019,Saag - Chicken,1,8.95,3
16060,31/07/2019,Saag Paneer,1,5.95,3
16060,31/07/2019,Saag Rice,1,3.95,3
16059,31/07/2019,Sheek Kebab,1,4.95,6
16059,31/07/2019,Plain Papadum,3,0.8,6
16059,31/07/2019,Lamb Tikka Masala,1,8.95,6
16059,31/07/2019,Pilau Rice,1,2.95,6
16059,31/07/2019,Keema Naan,1,2.95,6
16059,31/07/2019,French Fries,1,3.95,6
16058,31/07/2019,Keema Rice,1,3.95,3
16058,31/07/2019,Bombay Aloo,1,5.95,3
16058,31/07/2019,Madras - Lamb,1,7.95,3
16057,31/07/2019,Lamb Biryani,1,9.95,3
16057,31/07/2019,Lamb Tikka Chilli Masala,1,8.95,3
16057,31/07/2019,Garlic Naan,1,2.95,3
16056,30/07/2019,Paneer Tikka Sizzler,1,9.95,4
16056,30/07/2019,Vindaloo Sauce,1,3.95,4
16056,30/07/2019,Plain Rice,1,2.95,4
16056,30/07/2019,French Fries,1,3.95,4
16055,30/07/2019,Chicken Mysore,1,9.95,3
16055,30/07/2019,Garlic Naan,3,2.95,3
16055,30/07/2019,Lamb Chilli Garlic,1,9.95,3
16054,30/07/2019,Aloo Chaat,1,4.95,3
16054,30/07/2019,Tandoori Mixed Grill,1,11.95,3
16054,30/07/2019,Tandoori Roti,1,2.6,3
16053,30/07/2019,King Prawn Puree,1,5.95,5
16053,30/07/2019,Plain Papadum,1,0.8,5
16053,30/07/2019,Chicken Shashlick,1,9.95,5
16053,30/07/2019,Bhindi Bhajee,1,5.95,5
16053,30/07/2019,Dhansak Sauce,1,3.95,5
16052,30/07/2019,Onion Bhajee,2,3.95,4
16052,30/07/2019,Tarka Dall,1,5.95,4
16052,30/07/2019,Saag Paneer,1,5.95,4
16052,30/07/2019,Baingan Hari Mirch,1,5.95,4
16051,30/07/2019,Madras - Chicken,1,7.95,4
16051,30/07/2019,Lemon Rice,1,3.95,4
16051,30/07/2019,Spicy Papadum,1,0.8,4
16051,30/07/2019,French Fries,1,3.95,4
16050,30/07/2019,Mint Sauce,1,0.5,12
16050,30/07/2019,Lime Pickle,1,0.5,12
16048,30/07/2019,Mango Chutney,2,0.5,6
16047,30/07/2019,Red Sauce,1,0.5,6
16043,30/07/2019,Onion Chutney,1,0.5,8
16043,30/07/2019,Red Sauce,1,0.5,8
16041,29/07/2019,Red Sauce,1,0.5,6
16038,29/07/2019,Mango Chutney,1,0.5,8
16033,29/07/2019,Mint Sauce,1,0.5,6
